Re                            | Brutos
send: 14                      | Colonel: 12
early: 14                     | evidence: 12
continued: 14                 | answer: 12
frightened: 14                | tried: 12
trademark: 14                 | place,: 12
friends: 14                   | safe: 12
impossible: 14                | before,: 12
shoulder: 14                  | death: 12
noble: 14                     | danger: 12
bank: 14                      | doubt,: 12
run: 14                       | address: 12
features: 14                  | beg: 12
amid: 14                      | last,: 12
evidently: 14                 | hall: 12
wrote: 14                     | marked: 12
pass: 14                      | this,: 12
paragraph: 14                 | blood: 12
common: 14                    | examined: 12
literary: 14                  | can’t: 12
presence: 14                  | different: 12
swiftly: 14                   | wait: 12
den: 14                       | shot: 12
sum: 14                       | cleared: 12
affair: 14                    | off,: 12
copy: 14                      | run: 12
yesterday: 13                 | no,: 12
months: 13                    | whatever: 12
usual: 13                     | high: 12
west: 13                      | up.: 12
signs: 13                     | had,: 12
horner: 13                    | grew: 12
archive: 13                   | running: 12
stairs: 13                    | voice: 12
raise: 13                     | “Yes.”: 12
tried: 13                     | noble: 12
faced: 13                     | it,”: 12
houses: 13                    | K.: 12
form: 13                      | come,: 12
horrible: 13                  | locked: 12
running: 13                   | bed,: 12
ross: 13                      | send: 12
d: 13                         | itself: 12
self: 13                      | secret: 12
scandal: 13                   | says: 12
knowledge: 13                 | “So: 12
break: 13                     | clothes: 12
copper: 13                    | Doctor,: 12
situation: 13                 | box: 12
ebook: 13                     | scene: 12
inside: 13                    | often: 12
wood: 13                      | hat,: 12
expected: 13                  | one.: 12
fee: 13                       | “To: 12
moran: 13                     | Pray: 12
missing: 13                   | forth: 12
power: 13                     | foot: 12
spoken: 13                    | way.: 12
carry: 13                     | pass: 12
deduce: 13                    | “Here: 12
subject: 13                   | start: 12
building: 13                  | yellow: 12
clue: 13                      | third: 12
example: 13                   | myself.: 12
often: 13                     | companion: 12
edge: 13                      | deduce: 12
throwing: 13                  | double: 12
trap: 13                      | throwing: 12
purpose: 13                   | details: 12
slipped: 13                   | centre: 12
heavily: 13                   | paragraph: 12
gems: 13                      | wonder: 12
plain: 13                     | claim: 12
besides: 13                   | chair,: 12
lens: 12                      | slight: 12
reach: 12                     | kept: 12
forth: 12                     | care: 12
lawn: 12                      | excellent: 12
possibly: 12                  | walking: 12
looks: 12                     | wished: 12
precious: 12                  | breakfast: 12
perfectly: 12                 | office: 12
sometimes: 12                 | pipe: 12
lip: 12                       | kind: 11
draw: 12                      | broken: 11
streets: 12                   | sheet: 11
learn: 12                     | possibly: 11
iron: 12                      | floor: 11
shining: 12                   | sum: 11
opium: 12                     | mystery: 11
beeches: 12                   | raised: 11
merryweather: 12              | curious: 11
beg: 12                       | “‘You: 11
general: 12                   | fire,: 11
blow: 12                      | Her: 11
human: 12                     | fixed: 11
tall: 12                      | her.: 11
interested: 12                | piece: 11
inquiry: 12                   | “and: 11
weary: 12                     | machine: 11
kept: 12                      | later: 11
future: 12                    | real: 11
passing: 12                   | huge: 11
pretty: 12                    | Some: 11
real: 12                      | law: 11
horror: 12                    | but,: 11
arm: 12                       | shining: 11
fifty: 12                     | fire.: 11
piece: 12                     | Scotland: 11
broken: 12                    | arms: 11
wished: 12                    | glass: 11
honour: 12                    | passage,: 11
statement: 12                 | maid: 11
alive: 12                     | Did: 11
alice: 12                     | Then,: 11
narrative: 12                 | perfectly: 11
bohemia: 12                   | was.: 11
search: 12                    | in.: 11
pips: 12                      | ‘You: 11
practice: 12                  | “Have: 11
lived: 12                     | presence: 11
raised: 12                    | “She: 11
worn: 12                      | “Then,: 11
keen: 12                      | answered,: 11
investigation: 12             | drive: 11
f: 12                         | others: 11
complete: 12                  | therefore,: 11
bradstreet: 12                | garden: 11
lascar: 12                    | advice: 11
chin: 12                      | suppose: 11
firm: 12                      | inside: 11
action: 12                    | twenty: 11
sheet: 12                     | finally: 11
ryder: 12                     | unless: 11
ill: 12                       | pair: 11
traces: 12                    | silent: 11
wonder: 12                    | looks: 11
trouble: 12                   | No: 11
pair: 12                      | promise: 11
deeply: 12                    | engaged: 11
cigar: 12                     | narrow: 11
results: 12                   | quietly: 11
marked: 12                    | human: 11
visit: 12                     | “Now,: 11
ways: 12                      | Briony: 11
banker: 12                    | first,: 11
doran: 12                     | knows: 11
knows: 12                     | work.: 11
grew: 12                      | “On: 11
madam: 12                     | woman’s: 11
briony: 11                    | lit: 11
pointed: 11                   | pretty: 11
reasoning: 11                 | round,: 11
ship: 11                      | important: 11
beautiful: 11                 | free: 11
drawing: 11                   | wanted: 11
secure: 11                    | “‘Oh,: 11
narrow: 11                    | street.: 11
value: 11                     | eight: 11
rich: 11                      | donations: 11
strength: 11                  | Holmes,”: 11
scotland: 11                  | friends: 11
keeper: 11                    | woman,: 11
wind: 11                      | bright: 11
connection: 11                | company: 11
examination: 11               | exceedingly: 11
neighbourhood: 11             | me,”: 10
refund: 11                    | red-headed: 10
sleep: 11                     | companion.: 10
please: 11                    | bedroom: 10
agree: 11                     | learn: 10
associated: 11                | armchair: 10
seat: 11                      | Was: 10
formed: 11                    | finger: 10
stoke: 11                     | early: 10
4: 11                         | boy: 10
sutherland: 11                | observe: 10
